name,price,description,image,gender
LEVI'S,$98.00,501 Skinny,https://imgur.com/859kbLu,Women
Commando,$98.00,Perfect Control Faux Leather Legging,https://imgur.com/859kbLu,Women
AL,$46.00,Bodysuit,https://imgur.com/oCQ4zPO,Women
BLANKNYC,$98.00,Vegan Leather Pant,https://imgur.com/Eicux4Z,Women
by the way.,$88.00,Aubrey Off Shoulder Jumpsuit,https://imgur.com/3fel9fy,Women
Dr. Denim,$89.00,Plenty Jean,https://imgur.com/qtSwrng,Women
Michael Lauren,$73.00,Mathis Long Sleeve Tee,https://imgur.com/BuzOM8B,Women
SPANX,$68.00,Look At Me Now Leggins,https://imgur.com/Mrmb7ym,Women
Hanes x Carla,$30.00,The Crop Tee,https://imgur.com/jtvVMML,Women
David Lerner,$110.00,Wrap Skirt,https://imgur.com/w3MTJG8,Women
House of Harlow 1960,$178.00,X Revole MOA Sweater,https://imgur.com/2rqawkA,Women
Plush,$92.00,Fleece Lined Liquid Moto Legging,https://imgur.com/WrLNh4F,Women
BB Dakota,$150.00,Conrad Leather Skirt,https://imgur.com/dFqBFU7,Women
Bobi,$62.00,Jersey Jogger,https://imgur.com/rsLpfMt,Women
AGOLDE,$188.00,Riley,https://imgur.com/8K3JV7H,Women
BB Dakota,$80.00,Jack By BB Dakota Speak Now Jacket,https://imgur.com/AfFlwvB,Women
LIONESS,$61.00,Cypress Pant,https://imgur.com/ryEONAD,Women
by the way.,$56.00,Bobbie V Neck Sweater,https://imgur.com/qKQqDR9,Women
Lovers & Friends,$96.00,Love Happy Dress,https://imgur.com/geUJ0Ok,Women
Bardot,$99.00,Oskar Bodysuit,https://imgur.com/MQlkKq0,Women
LEVI's,$98.00,Wedgie Icon Fit,https://imgur.com/cCvHHqt,Women
Hanes x Carla,$30.00,The Baby Tee,https://imgur.com/eQvTE7N,Women
House of Harlow 1960,$98.00,X Revolve MOA Bodysuit,https://imgur.com/Pzu46rC,Women
AGOLDE,$128.00,Jaden High Rise Shorts,https://imgur.com/qvw04DS,Women
AGOLDE,$188.00,90's Fit,https://imgur.com/ag629ZL,Women
by the way.,$38.00,Jocelyn Scoop Back Bodysuit,https://imgur.com/JmKQZGv,Women
"Young, Fabulous & Broke",$158.00,Puffer Jacket,https://imgur.com/xc89j1A,Women
by the way.,$58.00,Jezabel Faux Leather Midi Skirt,https://imgur.com/LIYYRYw,Women
LPA,$88.00,Turtleneck Crop Top,https://imgur.com/jbCpjYv,Women
Michael Lauren,$70.00,Fergus Top,https://imgur.com/jo3d8WF,Women
BB Dakota,$88.00,Jack By BB Dakota Tis The Sequin Sweater,https://imgur.com/nZi6hS6,Women
BLANKNYC,$136.00,Black Noise Faux Fur Jacket,https://imgur.com/hbZDhXJ,Women
Lovers & Friends,$138.00,Alyssa Top,https://imgur.com/2YEb5Xn,Women
SPANX,$68.00,Look At Me Now Leggins,https://imgur.com/azRPmPG,Women
by the way.,$46.00,Kam Long Sleeve Open Back Bodysuit,https://imgur.com/TRRDXEy,Women
